timestamp	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	uc1	uc2	uc3	uc4	temp1	temp2	temp3	temp4
2026.04.20 10:21:11,794389	1.939002	1.982122	1.934074	1.911846	2.140927	2.087173	2.034343	2.189731	2.027365	2.138150	2.176641	2.216937	2.221727	2.278772	2.160431	2.079898	2.299667	2.315714	2.158542	2.212960	2.001116	2.056517	2.105553	2.169707	2.003937	2.013299	1.838685	1.867226	1.635984	1.648610	1.599389	1.730063	1.354530	1.411682	1.438823	1.421130	2.218969	2.160885	2.157138	2.210617	2.099348	2.095220	2.290061	1.965779	1.972632	2.070392	2.069428	2.316407	2.277485	2.194194	2.045793	2.259299	2.219685	2.484472	2.054713	1.878004	1.757549	1.994554	1.950976	1.988715	1.785262	1.583713	1.528666	1.523380	1.553954	1.777004	1.687054	1.729223	1.694402	1.732228	1.724872	1.643990	-0.021637	0.586224	-0.021959	0.587190	65.388252	67.672152	70.362670	72.453127
2026.04.20 10:21:11,794480	1.947496	1.991019	1.946971	1.926146	2.147665	2.095602	2.044198	2.196233	2.037004	2.144418	2.189531	2.227386	2.234954	2.293080	2.179838	2.093834	2.313563	2.330977	2.167562	2.222051	2.009896	2.066699	2.092869	2.155054	2.008377	2.020100	1.795325	1.830360	1.639019	1.653315	1.575962	1.713395	1.357023	1.414772	1.412118	1.401237	2.210192	2.154148	2.153355	2.194045	2.079403	2.088480	2.282934	1.955990	1.970741	2.051002	2.047583	2.303000	2.263630	2.177010	2.030524	2.198546	2.191046	2.457728	2.037135	1.866322	1.756690	1.951993	1.938850	1.972937	1.779336	1.583404	1.530639	1.545678	1.575775	1.786084	1.683004	1.722720	1.686751	1.755729	1.743531	1.653782	-0.021315	0.586224	-0.022603	0.586224	65.412699	67.672152	70.213554	72.334609
2026.04.20 10:21:11,794571	1.953087	1.995609	1.967024	1.941813	2.159855	2.100962	2.065493	2.214504	2.049017	2.155572	2.214009	2.240609	2.243482	2.299094	2.193024	2.105896	2.323011	2.343017	2.182589	2.236000	2.024662	2.074877	2.109949	2.172022	2.019453	2.035782	1.802658	1.828739	1.645499	1.655991	1.568881	1.708204	1.360289	1.418656	1.389146	1.392099	2.217039	2.153461	2.156312	2.179981	2.071099	2.079642	2.279246	1.953190	1.968799	2.029887	2.034461	2.290959	2.259167	2.166393	2.024751	2.149573	2.172906	2.442811	2.027985	1.861494	1.756785	1.896906	1.891167	1.948746	1.763360	1.572314	1.523017	1.512266	1.548370	1.769300	1.672205	1.721463	1.682159	1.764836	1.754845	1.659891	-0.021637	0.586546	-0.022925	0.586224	65.437146	67.697971	70.114144	72.263498
2026.04.20 10:21:11,794662	1.956760	1.996396	1.986176	1.955150	2.163515	2.105895	2.085989	2.233649	2.058507	2.162107	2.269013	2.281490	2.252795	2.305480	2.241435	2.136281	2.336117	2.344044	2.207494	2.254992	2.031754	2.076973	2.122006	2.182802	2.027376	2.042994	1.811490	1.841514	1.657074	1.665733	1.582366	1.723908	1.369988	1.427167	1.394521	1.392022	2.222803	2.160921	2.161361	2.177743	2.069406	2.076922	2.282054	1.955668	1.968634	2.013804	2.020923	2.281289	2.255656	2.162875	2.016979	2.087898	2.153544	2.425137	2.020730	1.855278	1.760941	1.843370	1.856422	1.929260	1.756680	1.564138	1.521230	1.484083	1.528061	1.748125	1.653855	1.709853	1.681013	1.724564	1.723194	1.638638	-0.021315	0.587834	-0.023247	0.587190	65.461593	67.723790	70.039586	72.168684
2026.04.20 10:21:11,794753	1.954711	1.992474	1.998202	1.959225	2.163537	2.103777	2.103116	2.243339	2.062789	2.169755	2.329067	2.324381	2.263112	2.310876	2.313299	2.191446	2.346192	2.350413	2.271088	2.302079	2.035472	2.083292	2.169781	2.213433	2.033288	2.044499	1.832845	1.848333	1.664092	1.673315	1.593115	1.729206	1.375322	1.431666	1.404891	1.403461	2.231894	2.170507	2.171212	2.192052	2.081495	2.093637	2.296485	1.960879	1.972570	2.015017	2.020478	2.283148	2.258994	2.164181	2.019028	2.044071	2.140138	2.419691	2.020391	1.853178	1.761481	1.775646	1.811234	1.910829	1.752045	1.565088	1.523450	1.449388	1.503327	1.733834	1.649022	1.704776	1.675906	1.696701	1.700165	1.619631	-0.021959	0.587834	-0.022281	0.588477	65.412699	67.646333	69.989881	72.192388
2026.04.20 10:21:11,794843	1.945868	1.988465	1.999816	1.959958	2.157739	2.103520	2.118390	2.249231	2.058222	2.163096	2.379245	2.354208	2.260514	2.306279	2.370843	2.234682	2.348216	2.351615	2.338905	2.360617	2.042316	2.081303	2.244263	2.271408	2.035500	2.038238	1.887903	1.882711	1.669909	1.670874	1.615427	1.746817	1.378710	1.435665	1.417245	1.413393	2.247828	2.181438	2.178257	2.202576	2.093414	2.101001	2.303745	1.972100	1.982571	2.026137	2.032829	2.299055	2.272439	2.169319	2.027553	2.040910	2.141897	2.425812	2.028845	1.857808	1.763657	1.726607	1.768143	1.900562	1.751864	1.566400	1.527307	1.420652	1.477146	1.717427	1.648966	1.703579	1.679690	1.657445	1.673339	1.601267	-0.021315	0.588477	-0.020349	0.590731	65.363805	67.646333	70.114144	72.310906
2026.04.20 10:21:11,794934	1.929290	1.976760	1.972572	1.937318	2.143400	2.092623	2.103822	2.237972	2.055076	2.162887	2.418945	2.384995	2.259738	2.297827	2.432948	2.277688	2.340365	2.339090	2.389788	2.405154	2.042565	2.069667	2.299557	2.323813	2.036587	2.037167	1.956621	1.938332	1.673335	1.671013	1.645955	1.770867	1.383613	1.434155	1.445016	1.427866	2.254550	2.188779	2.183708	2.216665	2.103306	2.113969	2.313914	1.975784	1.988065	2.038013	2.042987	2.310586	2.281698	2.182439	2.037328	2.051752	2.153493	2.437955	2.039089	1.863637	1.770211	1.725796	1.767728	1.905389	1.757856	1.567240	1.529388	1.401911	1.464228	1.711374	1.649614	1.708558	1.684697	1.631377	1.651007	1.588748	-0.021637	0.588155	-0.019705	0.592341	65.412699	67.672152	70.288112	72.405720
2026.04.20 10:21:11,795025	1.923245	1.967443	1.952545	1.920747	2.127033	2.080114	2.071088	2.211008	2.036904	2.142647	2.353539	2.342187	2.238437	2.291293	2.410452	2.276760	2.331812	2.336348	2.433536	2.446824	2.034667	2.063787	2.366906	2.370496	2.029140	2.027501	2.013135	1.973397	1.669965	1.664702	1.677055	1.786396	1.383927	1.427404	1.480037	1.450643	2.260754	2.199718	2.187098	2.241594	2.122353	2.126440	2.326660	1.986556	1.993614	2.057086	2.057418	2.323164	2.291039	2.194010	2.039610	2.064335	2.163994	2.452545	2.049188	1.873820	1.777490	1.735037	1.776852	1.918128	1.767934	1.575211	1.535901	1.412590	1.469366	1.717100	1.659969	1.711062	1.692200	1.620810	1.641497	1.580504	-0.021315	0.588477	-0.018739	0.592985	65.388252	67.620514	70.288112	72.453127
2026.04.20 10:21:11,795116	1.917908	1.965493	1.931846	1.909992	2.123539	2.076620	2.051941	2.193789	2.027885	2.135325	2.306026	2.304295	2.223293	2.279939	2.340674	2.220388	2.310832	2.323607	2.364320	2.391526	2.024512	2.065793	2.355305	2.381478	2.025041	2.025627	2.070230	2.028087	1.666517	1.658291	1.698123	1.801787	1.377670	1.415379	1.504400	1.462196	2.258485	2.196062	2.187004	2.257970	2.138519	2.134494	2.334119	1.993104	1.997567	2.081372	2.075380	2.336899	2.300869	2.203507	2.049110	2.114257	2.185532	2.468992	2.057531	1.876116	1.777529	1.750097	1.781513	1.924901	1.780687	1.583787	1.541622	1.421652	1.479027	1.723929	1.667217	1.720567	1.697881	1.630206	1.648185	1.588130	-0.021959	0.588477	-0.018417	0.592663	65.314912	67.594695	70.462080	72.524238
2026.04.20 10:21:11,795207	1.918453	1.962214	1.914364	1.897935	2.118076	2.073729	2.032129	2.180249	2.017568	2.127534	2.250952	2.265886	2.217838	2.268481	2.288024	2.179353	2.299903	2.314693	2.310359	2.345697	2.009834	2.050922	2.280129	2.313277	2.009801	2.010979	2.006502	1.992086	1.653038	1.659549	1.692132	1.798675	1.372694	1.414784	1.525618	1.475575	2.254262	2.189531	2.179770	2.266273	2.138120	2.136636	2.327660	1.990075	1.997168	2.098573	2.090846	2.345922	2.303878	2.210714	2.057222	2.178752	2.203593	2.481979	2.067195	1.884558	1.772972	1.805234	1.815827	1.941015	1.785210	1.584182	1.541539	1.436299	1.486885	1.732692	1.677692	1.724295	1.707722	1.639867	1.660050	1.596591	-0.021637	0.586868	-0.019061	0.591053	65.388252	67.620514	70.462080	72.547942
